Lambda_GeV,delta_alpha,delta_alpha_over_alpha
4.641588833612772822e+07 2.497421479601967946e-29 2.497421479601967973e-23
7.742636826811246574e+07 8.975267437672753488e-30 8.975267437672753212e-24
1.291549665014882684e+08 3.225543875380895294e-30 3.225543875380895302e-24
2.154434690031877756e+08 1.159200365254523423e-30 1.159200365254523421e-24
3.593813663804625869e+08 4.165950111739001050e-31 4.165950111739000950e-25
5.994842503189396858e+08 1.497164843429608957e-31 1.497164843429608995e-25
1.000000000000000000e+09 5.380531471285220349e-32 5.380531471285220784e-26
1.668100537200055838e+09 1.933662752003570799e-32 1.933662752003570934e-26
2.782559402207114697e+09 6.949223619340516432e-33 6.949223619340516225e-27
4.641588833612772942e+09 2.497421479601967729e-33 2.497421479601967979e-27
7.742636826811245918e+09 8.975267437672753912e-34 8.975267437672754105e-28
1.291549665014882660e+10 3.225543875380894455e-34 3.225543875380894425e-28
2.154434690031877899e+10 1.159200365254523123e-34 1.159200365254523073e-28
3.593813663804625702e+10 4.165950111739000921e-35 4.165950111739000910e-29
5.994842503189396667e+10 1.497164843429609143e-35 1.497164843429609333e-29
1.000000000000000000e+11 5.380531471285219789e-36 5.380531471285220087e-30
1.668100537200055847e+11 1.933662752003570557e-36 1.933662752003570711e-30
2.782559402207114258e+11 6.949223619340518468e-37 6.949223619340518731e-31
4.641588833612772827e+11 2.497421479601968125e-37 2.497421479601968331e-31
7.742636826811246338e+11 8.975267437672755853e-38 8.975267437672755897e-32
1.291549665014882812e+12 3.225543875380894026e-38 3.225543875380893958e-32
2.154434690031877930e+12 1.159200365254523037e-38 1.159200365254523089e-32
3.593813663804625488e+12 4.165950111739002003e-39 4.165950111739002418e-33
5.994842503189396484e+12 1.497164843429609357e-39 1.497164843429609367e-33
1.000000000000000000e+13 5.380531471285220019e-40 5.380531471285220110e-34
1.668100537200055664e+13 1.933662752003570981e-40 1.933662752003571038e-34
2.782559402207114453e+13 6.949223619340517587e-41 6.949223619340517800e-35
4.641588833612753906e+13 2.497421479601988314e-41 2.497421479601988170e-35
7.742636826811278125e+13 8.975267437672680755e-42 8.975267437672681267e-36
1.291549665014882656e+14 3.225543875380895070e-42 3.225543875380894882e-36
2.154434690031877812e+14 1.159200365254523235e-42 1.159200365254523230e-36
3.593813663804611250e+14 4.165950111739034484e-43 4.165950111739034264e-37
5.994842503189421250e+14 1.497164843429596757e-43 1.497164843429596906e-37
1.000000000000000000e+15 5.380531471285220173e-44 5.380531471285220541e-38
1.668100537200055750e+15 1.933662752003570930e-44 1.933662752003570965e-38
2.782559402207114500e+15 6.949223619340516815e-45 6.949223619340517424e-39
4.641588833612754000e+15 2.497421479601988079e-45 2.497421479601988314e-39
7.742636826811278000e+15 8.975267437672681370e-46 8.975267437672682183e-40
1.291549665014882800e+16 3.225543875380894821e-46 3.225543875380895070e-40
2.154434690031878000e+16 1.159200365254522962e-46 1.159200365254523070e-40
3.593813663804610800e+16 4.165950111739035951e-47 4.165950111739036077e-41
5.994842503189372000e+16 1.497164843429621208e-47 1.497164843429621163e-41
1.000000000000000000e+17 5.380531471285220987e-48 5.380531471285221090e-42
1.668100537200055680e+17 1.933662752003570927e-48 1.933662752003570930e-42
2.782559402207114560e+17 6.949223619340517503e-49 6.949223619340517810e-43
4.641588833612753280e+17 2.497421479601989113e-49 2.497421479601989063e-43
7.742636826811278080e+17 8.975267437672680124e-50 8.975267437672680437e-44
1.291549665014882816e+18 3.225543875380894630e-50 3.225543875380894712e-44
2.154434690031877888e+18 1.159200365254523235e-50 1.159200365254523265e-44
3.593813663804611072e+18 4.165950111739034700e-51 4.165950111739035057e-45
5.994842503189371904e+18 1.497164843429621589e-51 1.497164843429621587e-45
1.000000000000000000e+19 5.380531471285220174e-52 5.380531471285220671e-46
